,h_geocode,w_geocode,total_jobs,origin_loc_lat,origin_loc_lon,dest_loc_lat,dest_loc_lon,pickup_time_0,pickup_time_0_secs,pickup_time_0_str,origin_geom,dest_geom,walk_time,drive_time,origin_lat,origin_lon,destination_lat,destination_lon,transit_time,transfers,trip1,trip2,trip3,trip4,trip5,trip6,route1,route2,route3,route4,route5,route6,mode,bus_capacity_upto_2hours,GEOID,median_income,margin,start_pickup_window,end_pickup_window,start_dropoff_window,end_dropoff_window
852,470650114463,470650109012,7.0,35.01753461154365,-85.16696164643689,35.055498316455065,-85.32531298343487,08:30:15,30615.0,08:30:15,POINT (-85.16696164643689 35.01753461154365),POINT (-85.32531298343487 35.055498316455065),14250.0,1273.0,35.01753461154365,-85.16696164643689,35.055498316455065,-85.32531298343487,8080.0,1.0,1509020.0,590020.0,2236020.0,,,,4,4,16,,,,"['WALK', 'BUS', 'BUS', 'WALK', 'BUS', 'WALK']",105.0,470650114463,75161,15686,08:00:15,08:30:15,08:51:28,09:21:28
853,470650114463,470650109012,7.0,35.018080871050984,-85.1626219074092,35.07565838293821,-85.33453539353067,07:44:15,27855.0,07:44:15,POINT (-85.1626219074092 35.018080871050984),POINT (-85.33453539353067 35.07565838293821),16647.0,1670.0,35.018080871050984,-85.1626219074092,35.07565838293821,-85.33453539353067,8893.0,1.0,1744020.0,2058020.0,1691020.0,,,,4,4,16,,,,"['WALK', 'BUS', 'BUS', 'WALK', 'BUS', 'WALK']",105.0,470650114463,75161,15686,07:14:15,07:44:15,08:12:05,08:42:05
854,470650114463,470650109012,7.0,35.02764283670777,-85.15741336098056,35.05244519157174,-85.33037522250217,06:28:30,23310.0,06:28:30,POINT (-85.15741336098056 35.02764283670777),POINT (-85.33037522250217 35.05244519157174),16280.0,1749.0,35.02764283670777,-85.15741336098056,35.05244519157174,-85.33037522250217,7222.0,1.0,1563020.0,1515020.0,865020.0,,,,4,4,16,,,,"['WALK', 'BUS', 'BUS', 'WALK', 'BUS', 'WALK']",105.0,470650114463,75161,15686,05:58:30,06:28:30,06:57:39,07:27:39
855,470650114463,470650109012,7.0,35.024661798373494,-85.15908838492511,35.05502671645152,-85.32612364811828,08:34:00,30840.0,08:34:00,POINT (-85.15908838492511 35.024661798373494),POINT (-85.32612364811828 35.05502671645152),15486.0,1571.0,35.024661798373494,-85.15908838492511,35.05502671645152,-85.32612364811828,6060.0,1.0,1903020.0,423020.0,330020.0,,,,4,4,16,,,,"['WALK', 'BUS', 'BUS', 'WALK', 'BUS', 'WALK']",105.0,470650114463,75161,15686,08:04:00,08:34:00,09:00:11,09:30:11
856,470650114463,470650109012,7.0,35.02731983520529,-85.15755615441086,35.075935479012614,-85.33462600961977,09:45:30,35130.0,09:45:30,POINT (-85.15755615441086 35.02731983520529),POINT (-85.33462600961977 35.075935479012614),17496.0,1826.0,35.02731983520529,-85.15755615441086,35.075935479012614,-85.33462600961977,7069.0,1.0,1823020.0,2029020.0,,,,,4,16,,,,,"['WALK', 'BUS', 'WALK', 'BUS', 'WALK']",105.0,470650114463,75161,15686,09:15:30,09:45:30,10:15:56,10:45:56
857,470650011001,470650113234,4.0,35.04271718012799,-85.28414811286144,35.04586185902985,-85.1420219907725,06:48:45,24525.0,06:48:45,POINT (-85.28414811286144 35.04271718012799),POINT (-85.1420219907725 35.04586185902985),12356.0,1637.0,35.04271718012799,-85.28414811286144,35.04586185902985,-85.1420219907725,4640.0,0.0,1415020.0,,,,,,4,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650011001,44223,12118,06:18:45,06:48:45,07:16:02,07:46:02
858,470650011001,470650113234,4.0,35.03733175757634,-85.27524556849409,35.04522235985132,-85.13699312695206,09:26:15,33975.0,09:26:15,POINT (-85.27524556849409 35.03733175757634),POINT (-85.13699312695206 35.045222359851316),11649.0,1584.0,35.03733175757634,-85.27524556849409,35.04522235985132,-85.13699312695206,4494.0,0.0,1568020.0,,,,,,4,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650011001,44223,12118,08:56:15,09:26:15,09:52:39,10:22:39
859,470650011001,470650113234,4.0,35.04269932043761,-85.2794526704047,35.044616930290154,-85.14346200548329,08:05:00,29100.0,08:05:00,POINT (-85.2794526704047 35.04269932043761),POINT (-85.14346200548329 35.044616930290154),11669.0,1502.0,35.04269932043761,-85.2794526704047,35.044616930290154,-85.14346200548329,4323.0,0.0,2004020.0,,,,,,4,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650011001,44223,12118,07:35:00,08:05:00,08:30:02,09:00:02
860,470650011001,470650113234,4.0,35.04135169999503,-85.27925650004443,35.04233987720537,-85.13328532640618,08:36:15,30975.0,08:36:15,POINT (-85.27925650004443 35.04135169999503),POINT (-85.13328532640618 35.04233987720537),12466.0,1648.0,35.04135169999503,-85.27925650004443,35.04233987720537,-85.13328532640618,5128.0,0.0,1026020.0,,,,,,4,,,,,,"['WALK', 'BUS', 'WALK']",105.0,470650011001,44223,12118,08:06:15,08:36:15,09:03:43,09:33:43
861,470650011001,470650113261,2.0,35.03728030877869,-85.27509739661116,35.00009000920322,-85.15285744232025,07:44:45,27885.0,07:44:45,POINT (-85.27509739661116 35.03728030877869),POINT (-85.15285744232025 35.00009000920322),10966.0,1703.0,35.03728030877869,-85.27509739661116,35.00009000920322,-85.15285744232025,6765.0,0.0,1515020.0,1903020.0,,,,,4,4,,,,,"['WALK', 'BUS', 'BUS', 'WALK']",105.0,470650011001,44223,12118,07:14:45,07:44:45,08:13:08,08:43:08
